season,home_team,away_team
2025,Oklahoma City Thunder,Indiana Pacers
2025,Indiana Pacers,Oklahoma City Thunder
2025,Oklahoma City Thunder,Indiana Pacers
2025,Indiana Pacers,Oklahoma City Thunder
2025,Indiana Pacers,Oklahoma City Thunder
2025,Oklahoma City Thunder,Indiana Pacers
2025,Oklahoma City Thunder,Indiana Pacers
2025,Indiana Pacers,New York Knicks
2025,New York Knicks,Indiana Pacers
2025,Oklahoma City Thunder,Minnesota Timberwolves
2025,Indiana Pacers,New York Knicks
2025,Minnesota Timberwolves,Oklahoma City Thunder
2025,Indiana Pacers,New York Knicks
2025,Minnesota Timberwolves,Oklahoma City Thunder
2025,New York Knicks,Indiana Pacers
2025,Oklahoma City Thunder,Minnesota Timberwolves
2025,New York Knicks,Indiana Pacers
2025,Oklahoma City Thunder,Minnesota Timberwolves
2025,Oklahoma City Thunder,Denver Nuggets
2025,New York Knicks,Boston Celtics
2025,Denver Nuggets,Oklahoma City Thunder
2025,Minnesota Timberwolves,Golden State Warriors
2025,Boston Celtics,New York Knicks
2025,Oklahoma City Thunder,Denver Nuggets
2025,Cleveland Cavaliers,Indiana Pacers
2025,Golden State Warriors,Minnesota Timberwolves
2025,New York Knicks,Boston Celtics
2025,Indiana Pacers,Cleveland Cavaliers
2025,Denver Nuggets,Oklahoma City Thunder
2025,Golden State Warriors,Minnesota Timberwolves
2025,New York Knicks,Boston Celtics
2025,Denver Nuggets,Oklahoma City Thunder
2025,Indiana Pacers,Cleveland Cavaliers
2025,Minnesota Timberwolves,Golden State Warriors
2025,Oklahoma City Thunder,Denver Nuggets
2025,Boston Celtics,New York Knicks
2025,Minnesota Timberwolves,Golden State Warriors
2025,Cleveland Cavaliers,Indiana Pacers
2025,Oklahoma City Thunder,Denver Nuggets
2025,Boston Celtics,New York Knicks
2025,Houston Rockets,Golden State Warriors
2025,Cleveland Cavaliers,Indiana Pacers
2025,Denver Nuggets,Los Angeles Clippers
2025,Golden State Warriors,Houston Rockets
2025,Los Angeles Clippers,Denver Nuggets
2025,Detroit Pistons,New York Knicks
2025,Los Angeles Lakers,Minnesota Timberwolves
2025,Houston Rockets,Golden State Warriors
